39,25,0
14,47,0
22,39,1
9,27,0
47,16,1
40,41,0
19,41,0
1,14,1
21,7,1
40,42,0
4,48,0
39,22,1
42,26,0
8,35,0
40,39,0
50,30,1
47,44,0
18,25,1
27,20,0
45,23,1
37,28,0
45,33,1
32,13,1
29,50,1
34,31,1
22,14,0
35,40,0
25,16,0
50,13,0
33,48,1
50,38,1
23,19,0
32,22,1
49,25,0
33,34,1
35,40,1
19,25,1
35,16,1
19,2,0
12,29,0
19,34,0
10,15,0
40,36,1
9,41,1
17,32,0
37,5,0
9,45,1
50,9,0
48,41,1
16,2,1
43,42,0
24,48,1
23,4,0
32,26,1
33,14,1
44,32,1
2,43,1
8,38,0
5,23,0
31,22,1
28,17,1
42,20,1
24,42,0
42,29,1
28,47,0
34,11,0
26,41,1
8,15,0
33,35,1
32,29,1
27,24,0
2,41,0
5,2,0
7,28,1
14,11,0
24,46,1
12,37,1
42,47,0
46,17,0
1,32,1
27,10,1
47,41,1
24,14,0
12,32,1
40,46,1
7,28,1
41,32,0
43,27,0
5,13,0
49,32,1
8,38,0
43,6,1
10,27,1
39,38,0
45,27,1
40,28,0
48,7,0
30,46,1
44,5,0
24,46,0
27,27,0
26,34,1
15,35,0
31,3,0
6,4,0
39,36,0
3,21,1
22,22,0
28,21,1
23,9,0
29,48,1
3,21,1
47,37,1
33,25,1
39,32,0
5,4,1
39,12,1
46,17,1
12,12,1
48,50,1
2,35,1
4,23,1
32,43,1
1,31,1
30,1,1
21,10,0
23,46,0
5,50,1
41,27,1
23,36,1
34,43,0
47,39,0
49,23,0
47,11,0
50,19,0
15,23,1
27,50,1
5,33,0
9,50,1
34,30,1
46,7,1
40,28,0
7,8,0
36,33,0
9,22,1
4,9,0
3,47,0
1,34,0
30,4,0
26,40,1
31,28,0
23,41,0
5,18,0
23,14,0
18,20,1
30,6,0
4,25,1
35,18,0
17,1,1
10,20,1
32,20,0
15,23,1
20,27,0
17,35,1
26,9,0
24,13,1
30,44,0
4,36,0
42,25,0
36,25,1
11,36,0
30,30,0
12,36,0
50,13,1
9,12,0
29,45,1
10,10,1
4,44,0
50,23,0
42,45,1
33,43,0
40,13,1
11,40,0
23,15,1
47,32,1
35,45,1
37,18,0
27,10,0
40,41,0
11,31,0
21,4,1
38,41,1
49,25,0
25,19,0
38,49,0
16,28,0
30,27,0
22,23,1
8,32,1
19,8,1
43,38,1
23,20,1
25,15,0
38,47,0
42,8,0
23,31,0
29,35,0
40,35,0
25,38,1
5,47,0
48,23,0
11,17,1
17,6,0
21,8,0
50,2,0
27,44,1
41,28,1
20,8,0
23,7,1
22,27,0
29,42,0
30,48,1
28,14,0
7,40,1
13,20,0
14,12,1
24,14,1
35,4,1
43,29,1
48,45,1
35,6,0
28,5,1
13,18,0
18,18,1
6,15,1
4,44,1
21,4,0
35,6,0
47,48,1
45,4,1
43,47,1
27,7,1
41,37,1
23,1,0
12,10,0
31,10,1
42,39,1
6,4,0
18,44,0
18,18,0
