34,40
37,18
7,29
36,2
45,18
22,34
38,28
1,40
33,44
10,14
40,42
13,24
30,29
14,24
36,47
35,38
18,15
19,3
2,1
36,14
12,11
36,36
38,21
18,2
10,25
26,22
29,1
24,35
18,26
28,28
31,21
25,26
20,43
2,49
49,23
33,10
20,41
41,48
23,24
5,37
38,21
17,36
32,21
8,27
40,21
17,42
6,49
20,16
46,3
45,6
27,16
33,25
24,50
1,14
44,46
1,27
19,4
36,31
20,5
4,47
46,9
42,49
28,5
17,4
38,29
25,2
46,2
26,27
6,39
44,35
41,37
47,25
2,33
14,21
8,8
10,11
11,41
9,28
49,27
20,2
11,29
15,18
31,39
25,16
25,1
49,24
33,33
28,50
45,37
31,5
45,16
46,32
16,34
41,4
40,15
7,41
27,35
3,23
26,48
8,16
